Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
1/20/23 07:25,,Essex,United Kingdom,Light,10 seconds,Bright light that disappeared,3/6/23,
1/20/23 05:00,Hayes,VA,USA,Star,Less than 30 seconds,I believe the craft sensed that I noticed it since I look at the same spot all the time and it seemed aware of me.,3/6/23,
1/19/23 23:45,,,USA,Cross,5 to 10 minutes,Size of a small commercial plane hovering like a drone very low over a residential neighborhood. Not a helicopter not a plane had red,3/6/23,
1/19/23 23:33,Lubbock,TX,USA,Other,5 seconds,V shape formation with 5 lights traveling low and fairly slow,3/6/23,
1/19/23 22:04,Point Reyes,CA,USA,Changing,3 minutes,3 orange hovering lights moving in a straight line then to a triangular patter. Shinning bright orange.,3/6/23,
1/19/23 20:06,Roodepoort,Gauteng,South Africa,Cigar,44.sec,I saw it and I called my friends to come see as the cigar made no noise passing above us,3/6/23,
1/19/23 18:30,Durham,NC,USA,Circle,30+ minutes,Witnessed 30 or more orange circular objects heading 268 degrees across skyline in no formation or same altitude but the same direction,3/6/23,
1/19/23 18:20,Mesa,AZ,USA,Diamond,20 min,I looked over and seen a string of lights and then a triangular shape of lights,3/6/23,Yes
1/19/23 17:15,,,,Orb,Approximately 5 minutes,Transparent orb with object in it's center sighted over the Pacific South of the Aleutian Islands.,3/6/23,
1/19/23 08:01,Fort Pierce,FL,USA,Oval,1-2 minutes,Saw something bright way higher than a normal plane,3/6/23,Yes
1/19/23 07:53,Inverness,FL,USA,Other,Seconds,"When seen contrails from front porch, saw the object traveling from north-east to south west and took picture with iPhone 13, no noise",3/6/23,Yes
1/19/23 06:37,Lake Havasu City,AZ,USA,Light,5 min witnessed.,A stationary extremely bright multicolored Light non sequential lasting until daylight,3/6/23,Yes
1/19/23 00:40,Florida City,,,Circle,3 minutes at most,Round white/light yellow light moving fast.,3/6/23,
1/19/23 00:40,swanscombe,Kent,United Kingdom,Unknown,literally two seconds,It had a cylinder top and was round at the bottom,3/6/23,
1/18/23 23:50,Killeen,TX,USA,Chevron,7 minutes,"Visually observed Delta shape over the foothills adjacent to Stillhouse Lake, Texas - just south of Killeen / Harker Heights",3/6/23,Yes
1/18/23 19:32,mantua,NJ,USA,Circle,3 min video,video taped orange objects visibly moving around then vanished on video,3/6/23,
1/18/23 18:55,Wakefield,NH,USA,Unknown,15 seconds,"3 really bright lights appeared, then disappeared seconds later. A really dim, fast moving light also appeared",3/6/23,Yes
1/18/23 18:50,Conway,NH,USA,Light,4 minutes,Bright amber lights,3/6/23,
1/18/23 13:15,Fort Payne,AL,USA,Egg,,I'm capturing these objects on my security camera and they are leaving landing areas.,3/6/23,Yes
1/18/23 04:00,,NM,USA,Unknown,30 seconds,A Strange Light,3/6/23,
1/18/23 00:42,Repton,AL,USA,Unknown,Two lights about 1mile ap,There where two bright orbs that moved in sequence with each other they looked like they were about 1 mile apart and they turnt left,5/19/23,Yes
1/17/23 22:20,Pittsburgh,PA,USA,Unknown,Fifteen minutes,"Very loud red and white lights, gliding over our house, moving and shaped unlike a plane",3/6/23,
1/17/23 21:15,Ashington,Northumberland,United Kingdom,Star,3 seconds,Star sized object travelling fast and turning 180 and accelerating rapidly,3/6/23,
1/17/23 21:00,Seattle,WA,USA,Egg,30 minutes,Spotted egg in Seattle night sky.,3/6/23,
1/17/23 19:31,"SHENANDOAH, IA",IA,USA,Sphere,one week now,They're somewhat mushroom shape about the size of a VW bug with white lights and one red light toward the bottom,3/6/23,
1/17/23 19:25,,CA,USA,Diamond,,Diamond shaped thing in the sky.,3/6/23,Yes
1/17/23 17:23,Goodyear,AZ,USA,Circle,5-10 minutes,Took photo of sun and lake,3/6/23,Yes
1/17/23 16:35,Madison,MS,USA,Triangle,I saw above me on highway,"A dark, triangular shaped item moved across the sky - not a drone but I would describe as similar look.",3/6/23,
1/17/23 12:27,Barnegat,NJ,USA,Circle,3 minutes and 40 seconds,Out my window I saw Little round Light,3/6/23,
1/17/23 00:14,Davis,CA,USA,Circle,7min,Orangish circle object,3/6/23,
1/16/23 17:16,Charleston,SC,USA,Other,Standing on balcony,Taking sunset photos from ship balcony,3/6/23,
1/16/23 14:30,Charlotte- Huntersville,NC,USA,Disk,10 minutes in view,"Moving S. to N. at view alt. 2000ft, 45ft. ""disc like"" craft w/ green & refractive triangular lights, w/ 250ft laser of white light.",3/6/23,Yes
1/16/23 06:50,Shiloh,PA,USA,Light,10 minutes,"Saw two bright white lights on my way to work, both disappeared within minutes from seeing them",3/6/23,Yes
1/15/23 22:34,Wellington,null,Barbados,Orb,30,"A right circular orb, flashing many different kinds of light going bright getting them I have the video",3/6/23,
1/15/23 21:00,Middle River,MD,USA,Light,1 hour plus,Lots of Bright lights moving as quick as a flick of a finger to other side of the sky,3/6/23,
1/15/23 20:24,Gurugram,Haryana,India,Circle,19 seconds,It was moving in circular motion,3/6/23,
1/15/23 19:13,Bogdanowo,Greater Poland Voivodeship,Poland,Circle,ab. 3 minutes,One object very far in close look 3 flashing,3/6/23,Yes
1/15/23 18:30,Iuka,MS,USA,Unknown,1 min 30 at most,A star pulled my attention to the sky. It quickly became the brightest in the sky. It split info two light moving in opposite direct,3/6/23,
1/15/23 18:00,Boynton Beach,FL,USA,Cone,Eastbound about 3 minutes,Cone shaped object with cloud like contrail that did not dissipate rapidly in sky,3/6/23,Yes
1/15/23 17:59,Miami Shores,FL,USA,Light,2-5 minutes,One object turns to 3. Moving extremely fast and changing direction. Dispersing into nothing.,3/6/23,Yes
1/15/23 17:59,Wilmington,,USA,Sphere,20 seconds,The kids thought it was a rocket ship but it was going sideways,3/6/23,
